column,painintensity,attack_duration,total_pain,migraine_start_time_from_midnight,migraine_end_time_from_midnight,attacks,trigger_menstruation,attacks_per_month,total_hours_slept,start_time_from_midnight,end_time_from_midnight,time_in_bed,wake_time,sleep_efficiency,num_interruptions
painintensity,NA,0,0,1.464811656388676e-4,0,0,0.30441504159137445,0,7.353005858146133e-5,0.8076975764526217,0.8854547085781492,0.776208903751308,0.5980983410721139,0.6139926333159185,8.878882086693629e-5
attack_duration,0,NA,0,3.216730694077796e-5,0,0,2.1171087105642528e-9,0,0.22742824531423866,0.18043991985464203,0.3633360051221648,0.4625869753845586,0.7367428097458264,0.9908389492481011,4.055108879796876e-7
total_pain,0,0,NA,1.891423228261857e-6,0,0,9.522927917338109e-7,0,0.6733074760753768,0.3425302053136283,0.6288267169323005,0.5487842191975256,0.9631466714436447,0.7569459145456041,4.389128127613162e-8
migraine_start_time_from_midnight,1.464811656388676e-4,3.216730694077796e-5,1.891423228261857e-6,NA,0,0.0019727878999580284,0,0.0019727878999531434,5.082355603036603e-7,0.9241634490330966,0.0038025796480123386,0.19142466073512887,0.3949221791892308,0.463890541721236,0.9206652105567326
migraine_end_time_from_midnight,0,0,0,0,NA,0,8.881784197001252e-16,0,0.9226601475946101,0.20349965107009904,0.8118844107977496,0.31628476540763106,0.6065123615835302,0.8611158270763313,6.684455056138461e-7
attacks,0,0,0,0.0019727878999580284,0,NA,0,0,0.06843791262917276,0.06162625488071716,0.5791195386893835,0.055276747992202946,0.034750004786682887,0.017497495429026344,1.2619049272188931e-7
trigger_menstruation,0.30441504159137445,2.1171087105642528e-9,9.522927917338109e-7,0,8.881784197001252e-16,0,NA,0,0.0021259024462101372,0.5090455544040591,0.705392465322142,0.6912837324722416,0.6505718570923105,0.4449106114088668,0.6584755947775001
attacks_per_month,0,0,0,0.0019727878999531434,0,0,0,NA,0.06843791262991283,0.06162625488071427,0.5791195386895178,0.055276747992207165,0.03475000478668244,0.017497495429026344,1.2619049272188931e-7
total_hours_slept,7.353005858146133e-5,0.22742824531423866,0.6733074760753768,5.082355603036603e-7,0.9226601475946101,0.06843791262917276,0.0021259024462101372,0.06843791262991283,NA,0.0012738279864281665,1.8174216620536754e-7,4.2097584973532776e-8,0.9989236454688233,0.4384005269366067,0
start_time_from_midnight,0.8076975764526217,0.18043991985464203,0.3425302053136283,0.9241634490330966,0.20349965107009904,0.06162625488071716,0.5090455544040591,0.06162625488071427,0.0012738279864281665,NA,0.8793500279605051,0,0,0,1.9912175019953793e-8
end_time_from_midnight,0.8854547085781492,0.3633360051221648,0.6288267169323005,0.0038025796480123386,0.8118844107977496,0.5791195386893835,0.705392465322142,0.5791195386895178,1.8174216620536754e-7,0.8793500279605051,NA,1.8171062432514873e-9,7.192765540287027e-5,3.451917165731011e-4,0.29738901281878816
time_in_bed,0.776208903751308,0.4625869753845586,0.5487842191975256,0.19142466073512887,0.31628476540763106,0.055276747992202946,0.6912837324722416,0.055276747992207165,4.2097584973532776e-8,0,1.8171062432514873e-9,NA,0,0,4.81602038249207e-8
wake_time,0.5980983410721139,0.7367428097458264,0.9631466714436447,0.3949221791892308,0.6065123615835302,0.034750004786682887,0.6505718570923105,0.03475000478668244,0.9989236454688233,0,7.192765540287027e-5,0,NA,0,4.106270878878604e-12
sleep_efficiency,0.6139926333159185,0.9908389492481011,0.7569459145456041,0.463890541721236,0.8611158270763313,0.017497495429026344,0.4449106114088668,0.017497495429026344,0.4384005269366067,0,3.451917165731011e-4,0,0,NA,0
num_interruptions,8.878882086693629e-5,4.055108879796876e-7,4.389128127613162e-8,0.9206652105567326,6.684455056138461e-7,1.2619049272188931e-7,0.6584755947775001,1.2619049272188931e-7,0,1.9912175019953793e-8,0.29738901281878816,4.81602038249207e-8,4.106270878878604e-12,0,NA
